Player,Position,Age,Mins,Cmp%,Total Passes,Prog Passes,Passes to Final 3rd,Switches
Bruno Fernandes,MF,31,1809,83.1,1011,3.2,0,4.0
Bryan Mbeumo,MF,26,1636,78.5,415,1.6,0,0.7
Benjamin Sesko,FW,22,1066,67.0,147,0.4,0,0.2
Matheus Cunha,FW,26,1490,81.7,425,1.1,0,0.8
Amad Diallo,MF,23,1474,87.4,510,1.6,0,0.9
Casemiro,MF,33,1563,81.8,733,1.0,0,2.2
Joshua Zirkzee,FW,24,483,75.3,136,0.6,0,0.0
Patrick Dorgu,MF,21,1333,75.9,352,1.1,0,0.3
Mason Mount,MF,27,821,79.4,255,0.8,0,1.1
Diogo Dalot,DF,26,1675,83.4,555,0.9,0,1.2
Matthijs de Ligt,DF,26,1170,87.7,549,0.2,0,1.6
Harry Maguire,DF,32,614,83.5,218,0.1,0,0.8
Leny Yoro,DF,20,1144,88.7,585,0.1,0,1.3
Ayden Heaven,DF,19,640,90.5,328,0.2,0,1.0
Manuel Ugarte,MF,24,751,84.3,332,0.1,0,0.6
Kobbie Mainoo,MF,20,498,87.8,253,0.6,0,0.7
Luke Shaw,DF,30,2096,87.3,1074,0.6,0,1.8
Shea Lacey,FW,18,12,100.0,3,0.0,0,0.0
Lisandro Martinez,DF,28,725,88.7,436,0.4,0,2.1
Jack Fletcher,MF,18,108,82.2,37,0.7,0,0.7
Noussair Mazraoui,DF,28,449,87.3,232,0.2,0,1.4
Senne Lammens,GK,23,1620,55.0,298,0.0,0,6.3
Altay Bayindir,GK,27,540,60.5,105,0.2,0,5.2
Bendito Mantato,FW,18,16,100.0,5,0.0,0,0.0
Tyler Fredricson,DF,20,2,0.0,0.0,0.0,0,0.0
Tyrell Malacia,DF,26,3,50.0,1,0.0,0,0.0