Player,Position,Age,Mins,Goals,xAG,Assists,Pk Att,CrdY,CrdR
Bruno Fernandes,MF,31,1809,5,3.2,12,4,2,0
Bryan Mbeumo,MF,26,1636,8,1.6,1,0,3,0
Benjamin Sesko,FW,22,1066,5,0.4,1,0,1,0
Matheus Cunha,FW,26,1490,6,1.0,2,0,1,0
Amad Diallo,MF,23,1474,2,1.6,2,0,1,0
Casemiro,MF,33,1563,5,1.0,2,0,6,1
Joshua Zirkzee,FW,24,483,2,0.6,1,0,1,0
Patrick Dorgu,MF,21,1333,3,1.1,3,0,5,0
Mason Mount,MF,27,821,3,0.8,0,0,0,0
Diogo Dalot,DF,26,1675,1,0.9,2,0,3,0
Matthijs de Ligt,DF,26,1170,1,0.2,0,0,0,0
Harry Maguire,DF,32,614,1,0.1,1,0,1,0
Leny Yoro,DF,20,1144,0,0.1,0,0,0,0
Ayden Heaven,DF,19,640,0,0.2,1,0,1,0
Manuel Ugarte,MF,24,751,0,0.1,0,0,1,0
Kobbie Mainoo,MF,20,498,0,0.6,1,0,0,0
Luke Shaw,DF,30,2096,0,0.5,1,0,4,0
Shea Lacey,FW,18,12,0,0.08,0,0,0,0
Lisandro Martinez,DF,28,725,0,0.3,0,0,0,0
Jack Fletcher,MF,18,108,0,0.7,0,0,0,0
Noussair Mazraoui,DF,28,449,0,0.2,0,0,1,0
Senne Lammens,GK,23,1620,0,0.0,0,0,0,0
Altay Bayindir,GK,27,540,0,0.0,0,0,0,0
Bendito Mantato,FW,18,16,0,0.0,0,0,0,0
Tyler Fredricson,DF,20,2,0,0.0,0,0,0,0
Tyrell Malacia,DF,26,3,0,0.0,0,0,0,0