Opponent,LastFormation,BackLine,MidfieldShape,FormationStyle
Wolves,3-5-2,Back 3,Central overload,Balanced
Manchester City,4-1-4-1,Back 4,Positional control,Attacking
Fulham,4-2-3-1,Back 4,Double pivot,Balanced
Brighton & Hove Albion,4-3-3,Back 4,Single pivot,Attacking
Liverpool,4-2-3-1,Back 4,Narrow box,Attacking
Bournemouth,4-2-3-1,Back 4,Double pivot,Balanced
Newcastle United,4-3-3,Back 4,High press,Attacking
Aston Villa,4-2-3-1,Back 4,Structured build,Attacking
Crystal Palace,3-4-2-1,Back 3,Wide overloads,Balanced
Sunderland,4-4-2,Back 4,Double pivot,Balanced
Tottenham Hotspur,3-4-2-1,Back 3,Double pivot,Aggressive press
Burnley,3-4-3,Back 3,Compact block,Defensive
Nottingham Forest,4-2-3-1,Back 4,Low block,Defensive
Brentford,4-2-3-1,Back 4,Direct play,Balanced
Chelsea,4-1-4-1,Back 4,Hybrid build,Balanced
Everton,4-2-3-1,Back 4,Wide transitions,Defensive
Leeds United,3-4-3,Back 3,High intensity,Attacking
West Ham United,4-4-1,Back 4,Mid-block,Balanced
Arsenal,4-2-3-1,Back 4,Positional play,Attacking