Player,Rating
Matthijs de Ligt,6.65
Bruno Fernandes,7.56
Bryan Mbeumo,7.54
Luke Shaw,6.38
Casemiro,6.46
Diogo Dalot,6.64
Senne Lammens,6.80
Matheus Cunha,7.49
Amad Diallo,6.88
Patrick Dorgu,6.38
Leny Yoro,6.40
Benjamin Sesko,7.05
Mason Mount,6.54
Ayden Heaven,6.40
Manuel Ugarte,6.07
Altay Bayindir,6.02
Noussair Mazraoui,6.34
Lisandro Martinez,6.40
Harry Maguire,6.83
Joshua Zirkzee,6.72
Kobbie Mainoo,6.13
Jack Fletcher,6.10
Bendito Mantato,6.10
Shea Lacey,6.30
Tyler Fredricson,6.40
Tyrell Malacia,6.40
Chido Obi,6.00
Diego Leon,6.00
Tom Heaton,6.00